flightNumber,callSign,entryTime,speed_in,wtCat,route,nodeOri,tOri,nodeDest,tDest,travelTime,linkType,timeOnPMSRing
387,Y87530_341f8f78.csv,3801.2169496508623,156.90555555555557,1,8 1 2 7 17 18 19,17,4719.866993765558,18,4801.364797046919,81.49780328136144,normal,0.0
387,Y87530_341f8f78.csv,3801.2169496508623,156.90555555555557,1,8 1 2 7 17 18 19,18,4801.364797046919,19,4886.806273663966,85.44147661704696,normal,0.0
388,CZ6273_3421621c.csv_1,50675.457361281544,151.24666666666667,2,8 1 2 7 17 18 19,8,50785.457361281544,1,50891.44014079325,105.9827795117093,normal,0.0
388,CZ6273_3421621c.csv_1,50675.457361281544,151.24666666666667,2,8 1 2 7 17 18 19,1,50891.44014079325,2,51186.06719105305,294.62705025979614,normal,0.0
388,CZ6273_3421621c.csv_1,50675.457361281544,151.24666666666667,2,8 1 2 7 17 18 19,2,51186.06719105305,7,51588.254113867384,402.1869228143317,pms,71.9814587096421
388,CZ6273_3421621c.csv_1,50675.457361281544,151.24666666666667,2,8 1 2 7 17 18 19,7,51588.254113867384,17,51656.312582699626,68.05846883223988,normal,0.0
388,CZ6273_3421621c.csv_1,50675.457361281544,151.24666666666667,2,8 1 2 7 17 18 19,17,51656.312582699626,18,51740.85962351872,84.54704081909946,normal,0.0
388,CZ6273_3421621c.csv_1,50675.457361281544,151.24666666666667,2,8 1 2 7 17 18 19,18,51740.85962351872,19,51829.497890077226,88.6382665585011,normal,0.0
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,11,72732.27575850837,6,72886.73120742648,154.45544891809718,normal,0.0
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,6,72886.73120742648,4,73066.97950712833,180.24829970185425,normal,0.0
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,4,73066.97950712833,5,73147.78373134647,80.80422421814475,normal,0.0
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,5,73147.78373134647,0,73198.64353466641,50.85980331993611,normal,0.0
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,0,73198.64353466641,7,73509.49462862668,310.8510939602648,pms,56.92254092095011
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,7,73509.49462862668,17,73568.94140314963,59.446774522946384,normal,0.0
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,17,73568.94140314963,18,73642.79038856456,73.84898541494174,normal,0.0
389,ADD8690,72247.27575850837,178.51222222222225,1,11 6 4 5 0 7 17 18 19,18,73642.79038856456,19,73720.21292152216,77.42253295760219,normal,0.0
390,ZH9010_3421ef53.csv_1,73378.35465965846,186.74333333333334,2,11 6 4 5 0 7 17 18 19,11,73378.35465965846,6,73521.57273004783,143.21807038937283,normal,0.0
390,ZH9010_3421ef53.csv_1,73378.35465965846,186.74333333333334,2,11 6 4 5 0 7 17 18 19,6,73521.57273004783,4,73688.70709698074,167.1343669329122,normal,0.0
390,ZH9010_3421ef53.csv_1,73378.35465965846,186.74333333333334,2,11 6 4 5 0 7 17 18 19,4,73688.70709698074,5,73763.63242433497,74.92532735422961,normal,0.0
390,ZH9010_3421ef53.csv_1,73378.35465965846,186.74333333333334,2,11 6 4 5 0 7 17 18 19,5,73763.63242433497,0,73810.79193177148,47.15950743652148,normal,0.0
390,ZH9010_3421ef53.csv_1,73378.35465965846,186.74333333333334,2,11 6 4 5 0 7 17 18 19,0,73810.79193177148,7,74120.66993545931,309.8780036878318,pms,74.42397705559232
390,ZH9010_3421ef53.csv_1,73378.35465965846,186.74333333333334,2,11 6 4 5 0 7 17 18 19,7,74120.66993545931,17,74175.79167054659,55.12173508726867,normal,0.0
